"filename","description"

"white_line.png","Context & Problems: If station areas suffer from emptiness, city axes, which are a common planning strategy in urban planning and urban design fields, can be planned.
Solutions: City axes help to emphasize the connections, concentrate the flow of leisure users, and energize the environment.
City axes make the spatial structure of certain areas recognizable to decision-makers, thereby also promoting collabo- rations for different stakeholders to align the important spaces and facilities, for creating memorable experiences for users when they move in the environment.
City axes should be supported by smaller design principles to ensure pedestrians can really move within them and experience the environment. These smaller principles include: (stations) Connect with neighborhoods (8), Reduce barriers to ease flow (22) & (23), and properly design/plan City passages and their positioning (20) & (21).
Examples: City axes have been successfully used in (re)development projects of some station areas, for example, the Utrecht Central Station area (fig. 45), the Rotterdam Central Station area, and the Delft Station area.
Limitation: Of notice, city axes usually should be space-based (e.g., the Paris Historical Axis) instead of building- based (e.g., the axis of the Forbidden City in Beijing). Building-based city axes only work symbolically to demonstrate order, power, or spiritual values, and can hardly contribute to real space usage because people cannot move on the axes.
"







"placeholder1.jpeg","placeholder1"


