"filename","description"

"white_line.png","Contexts: Setting apart non-transport function is one among several Suitable general layouts of the station and city (2).
In the station-city integration practice, and the related and more popular topic of transit oriented development (TOD), mixed use is a fundamental principle. Despite the the mixed-use strategy have many benefits, in some situations, it also causes problems, and these problems can be easily overlooked.
Problems: Mixing of stations with cities, if not done properly, can make the station buildings unrecognizable, and can bring interference in flow between passengers and non-passengers.
Solutions & Example: Therefore, setting apart non-transport function is a solution in the above situation. One representative example is the Utrecht Central Station area. Before the latest redevelopment, the Utrecht Central Station building is highly mixed with the adjacent Hoog Catharijne shopping mall building. This mixture raised complaints from passengers as the station building is unrecognizable, passengers felt lost once they got off the train arriving this area, and the passages across the station building was always overcrowded with passengers and city users. During the latest development, a east well-designed plaza is added, separating the station building from the shopping mall building (fig. 20), and endowing the station a clear image identity. A spacious footbridge, with street-like qualities, is built alongside the station building for pedestrians to pass-by freely.
Limitations: The distinction between separation and mixing can be ambiguous, so apply this design principle (i.e., Setting apart non-transport function) still depends much on designers’ experience.
"







"placeholder1.jpeg","placeholder1"


