"filename","description"

"white_line.png","Context & Problems: Stations can suffer from fluctuations of use, including overcrowding during peak times and emptiness during non-peak times (See 1 Introduction).
Solutions: Flexible use is the solution that addresses fluctuation in use (fig. 18). Two types of spaces can be flexibly used: 1) Stations’ own spaces, and 2) City neighborhoods’ spaces near the stations. The ideal scenarios are: During stations’ peak times or emergent times, redundant spaces are used for accommodating passengers; during non-peak times, redundant spaces are used for city leisure activities or events (such as open markets, outdoor music festivals, and carnivals). Stations need to Connect with neighborhoods (8), so that spaces of both cities’ spaces can be flexibly used by stations accommodating peak-time passengers. For non-peak-time leisure use, it is necessary to further Reduce barriers to ease flow (22) & (23), provide Human-oriented spaces, with leisure events and Make events visible by aligning main paths and open spaces (6).

Station areas need to also to be Programmed considering the time dimension (12) for flexible use of spaces.
 
Stations can be designed as Flexible buildings or building components (14) & (15), to have a responsive capacity for accommodating the peak time passengers.
In some cases, railway stations are used temporarily, or temporarily drastically increase capacity, to facilitate city events or nearby stadiums, such as the Rotterdam Stadion Station (for Feyenoord Stadium), Victoria Station Manchester (for AO Arena), Zandvoort Station (for Formula 1 car racing events), Bijlmer Arena (for multiple nearby venues including Johan Cruyff Arena and Ziggo Dome). However, this flexible change of capacity is more of a pure managerial intervention rather than a spatial design intervention.

Figure 18: Flexible use

Concepts clarifications: Of notice, in the ’flexible use,’ the ’time dimension’ is intrinsically considered, while some similar terms do not necessarily incorporate it. To better emphasize the time dimension nature, terms like ’flexible,’ ’temporary,’ ’reconfigurable,’ ’adaptive,’ and ’changeable’ are more appropriate than terms like ’mixed-use,’ ’multi-functional,’ ’all-in-one,’ and ’sharing.’ Because the latter can mean something has multiple functions working at the same time, not necessarily at different times. In the practice of urban planning and metro station development, similar to ’flexible use,’ the concept ’mixed-use’ (Rowley, 1996) has long been promoted. But ’mixed-use’ is not evident to readers as relates to time, even though a few scholars also incorporate the time dimension Hoppenbrouwer and Louw (2005) as the fourth dimension, beyond the 3D physical spatial dimensions, into the ’mixed-used’ definition.
Flexible sharing with neighborhoods at least has two positive implications: 1. Given the same investment, station-city will have larger capacities. 2. Given the same capacities, smaller spaces are needed, which means less investment and less redundant space (and hence less emptiness during non-peak times).
Limitations: Flexible use has its limitations, as it can potentially add to the management efforts for stakeholders of stations and cities (e.g., see the chaos in Bijlmer Arena station when the management capacity is surpassed (Aseniya, 2019)), and as it can exacerbate overcrowding and emptiness if time dimension is not well considered."







"placeholder1.jpeg","placeholder1"


