"filename","description"

"white_line.png","Contexts & Problems: Stairs are common building components that primarily address level changes. Some stairs also serve for symbolic functions, for example, using stairs to elevate buildings (or building entrances) to make the buildings look more grand.
Typically, in station areas, stairs should be avoided as much as possible because they hinder the flow of pedestrians and may even result in people falling down. This issue is especially problematic if the flow is intensive. To address small level changes, instead of using stairs, it is better to Smooth level changes by landscape design (9) & (10). To address large level changes, instead of using stairs, it is better to use escalators. Given the same width, escalators have a larger capacity than stairs, and escalators, if not running, can still be used as stairs.
However, in some situations, large stairs still exist in station areas: Those designed as backups of escalators for evacuations - like the grand stairs at the west of Utrecht Central Station. Or, stairs just happen to exist in the station areas - like the grand stairs of the Cologne Cathedral in front of the Cologne Central Station, and the indoor stairs in the hall of Antwerpen Central Station.
Stairs should be designed as potential stages for event performances or seats for the audience if the following two conditions are met: 1) Grand stairs, for whatever reasons, exist in railway station areas 2) Leisure events are supposed to be held in the station areas, as a measure to reduce emptiness.
Solutions: Grand stairs (in non-flow-intensive areas) can be used as audience seat areas, or as stages for performances during events. This takes advantage of the level change to leverage the see-and-be-seen relationship between audiences and performers in events. Such usage has been seen in various real-world cases: The grand stairs at the west side of Utrecht Central Station used during open-air exhibitions (fig. 44); The grand stairs in the hall of Antwerpen Central Station used for music festivals; And the grand stairs in front of Cologne Central Station used as stages for demonstrations.
Limitations: Stairs are typically unfavorable elements in the station areas, as mentioned in the above Contexts & Problems text. If stairs are indeed used for events, the frequency of use is still questionable.
"







"placeholder1.jpeg","placeholder1"


