"filename","description"

"white_line.png","Context & Problems: Level changes are common in station areas due to many station buildings being multi-floor, or having topographic variations in the surrounding landscape. Using stairs naturally becomes a solution for level changes (see also design principle Stairs as stages or seats (24) can also be considered). However, walking on stairs is not a smooth experience - it requires careful attention from pedestrians in case of falling down, and it is even more dangerous during overcrowding. To further advance Human-oriented spaces (7), alternatives are needed.
Solutions & Examples: Using landscape design (figs. 27, 28) helps to smooth the level changes, as compared to stairs. It would be useful, especially in flow-intensive areas, to prevent pedestrians from falling down. Landscape design can apply on both the district level (e.g., see fig. 27, the plaza in the early design proposal of Jiaxing Railway Station, China, by MAD Architects) and the building level (e.g., the slop in the station hall of Rotterdam Central Station). When applied at the building level, it can even bring fresh spatial experience (e.g., Arnhem Central Station fig. 28).
Limitations: Landscape design smoothing level change can be expensive, especially at the building level. (The design of buildings like Arnhem Central Station is usually related to the so-called ’parametric design,’ which requires computer algorithms dealing with complex geometries with many engineering challenges). Simply using escalators could be a cheaper alternative.
landscape design smoothing level change may cause confusion in wayfinding for people who are not familiar with such level-changing environments.
"







"placeholder1.jpeg","placeholder1"


