"filename","description"

"white_line.png","Contexts & Problems & Solutions: A layout of scattered mobility nodes can be applied for the following purpose:
1) To let railway passengers, who are potential customers of city stores, go through city districts, vibrating the city
environment. 2) To increase the peak time capacity of the mobility sites - passengers are more evenly dispersed to multiple sites - instead of concentrating on a limited site and, therefore, are less prone to overcrowding or even stampedes.
Scattered layouts of mobility nodes can be applied at the district level or the building level (figs. 21, 22).
Examples: Cases like Shanghai railway station adopt the layout of scattered mobility sites.
Limitations: The side effects include: 1) that more mobility sites result in harder wayfinding, and 2) harder transfer- ring between mobility sites (Therefore, if a station has a heavy transfer load between different mobilities, it is fine to use a scattered layout of mobility nodes; While if it has light transfer load between different mobilities, it is not appropriate to use this layout).
"







"placeholder1.jpeg","placeholder1"


