"filename","description"

"white_line.png","Contexts & Problems: In the following situation: Pedestrians move between different mobility sites in station areas, from originations to destinations, and there may be bottlenecks(Section 1.1.1). 1) If a station has surges of passengers during peak times; and 2) if the mobility sites or bottlenecks are too close, then the strained passengers will quickly be added up to overcrowding. Therefore, it is necessary to add redundant spaces or, equivalently, set apart bottlenecks.
 
Solutions: Redundant spaces (between originations to destinations, between different mobility sites, or between bottlenecks) reduce overcrowding in two ways: 1) Redundant spaces make pedestrians walk longer. Since different pedestrians walk at different speeds, the surges of pedestrians at the originations will be smoother when the pedestrians arrive at the destinations. 2) Redundant spaces are extra spaces that accommodate strained pedestrians. Redundant spaces can be set at the district level (fig. 38) as well as at the building level (fig. 39).
Examples: One example of redundant spaces being used is the Allianz Arena Munich. From the nearest train station to the stadium, it takes over 1km distance to walk. The massive space in between is redundant space that can accommodate a large number of people.
Limitations: Redundant spaces have the following limitations: 1) Despite redundant spaces being necessary for safety concerns (i.e., prevent overcrowding) during peak times, the long distances added by the redundant spaces can be unacceptable for passengers during non-peak times. In this situation, temporary Shortcuts or optimizing paths (P13), should be adopted, or make the spaces as Adaptive redundant spaces with path regulation (11). 2) Overcrowding (or the more extreme - stampedes) is a tricky issue that is associated with many causes that are not yet fully understood by existing scientific research (de Almeida and von Schreeb, 2019). Redundant spaces may not fully function if the crowd of people, due to crowd psychology, still concentrates in front of the destination areas (despite there being redundant spaces outside destination areas). In this situation, on-site management regulations are still needed to disperse people more evenly across the spaces.
"







"placeholder1.jpeg","placeholder1"


