"filename","description"

"white_line.png","Contexts: In the following context, stations should connect with their city neighborhoods:
When stations have high fluctuation of use, and Flexible use (1) with neighborhoods is needed, for the purpose of temporarily using the neighborhoods’ spaces to accommodating stations’ strained passengers during peak or emergent times;
Problems: In contrast, if there are no such connections, problems will occur: the station spaces suffer from over- crowding during peak or emergent times.
 
Solutions: Connecting with the neighborhoods with stations (fig. 26), therefore, becomes a solution. Connection- s/linkages include pedestrian paths, footbridges/skywalks, tunnels, and so on. Passengers can use these connections when they have to.
Connections are typically smaller parts of longer paths. They often cause sudden changes in the width of the paths, so it is necessary to ensure that they are not bottlenecks of flow. The connections should have enough capacity for passengers to pass during peak times.
The connections can basically serve for pass-through usage, whereas more preferably, the connections should be designed in a pleasant way that Reduce barriers to ease flow (P22) (Unless the stations do NOT want attractive non- transport city users).
Within the full pedestrian paths in which stations and city neighborhoods are connected, City passages and their positioning (20) & (21) should also be considered."







"placeholder1.jpeg","placeholder1"


