"filename","description"

"white_line.png","Context & Problems: It is common for railway tracks to cut city areas apart. City passages and their positioning should be designed/planned for the following purposes: 1) Facilitating passengers to move from one side of the station to
 
the other side of the station. 2) Facilitating city users passing through the station areas that were previously blocked by railway tracks. The station areas will be more vibrant with more users passing by. 3) When stations are Connected with neighborhoods (8), the city passages across railway tracks, help to form coherent pedestrian paths at the district level, or City axes (25) on an even larger scale. These paths or city axes facilitate pedestrian movement.
Solutions & examples: At the district level, city passages across railway tracks should be positioned according to the city’s neighborhood conditions (fig. 40). City passages may link the most dense neighborhoods/communities/city areas to maximize their usage. City passages should avoid bringing interference between transport passengers and city leisure users. If the passages are mainly for leisure users to pass by, then their positions should avoid areas where passengers intensively move. If the passages are mainly for transport passengers, their position should avoid areas where leisure users would stay or gather.
If there are areas reserved for leisure events, to make events more visible or even interactive for pedestrians, the paths should be aligned close to these areas (see principle Make events visible by aligning main paths and open spaces (6)).
At the building level, city passages can be designed with fine details, with enough lighting, and not too dark to make people feel unsafe (fig. 41). Beyond city passages that link different city areas across railway tracks (city-to-city), there can be other types of passages that link station to city and station inner areas to station inner areas (e.g., the internal footbridge on platforms at the Railway Central Station) These passages also provide convenient movement and ease transfer.
Passages are commonly seen in Dutch railway stations, such as Amsterdam Central Station, Utrecht Central Station, and Rotterdam Central Station.
Limitations: The more passages, the more choices for pedestrians to pass through, but it takes financial cost to build passages. at the building level, it is often quite diﬀicult to vertically arrange the passages with the railway platforms, the ground, and the internal passages that passengers move from platform to platform.
"







"placeholder1.jpeg","placeholder1"


