"filename","description"

"white_line.png","Contexts & Problems: To reduce overcrowding and emptiness in stations, Flexible use (1) is needed, and one planning strategy is programming station areas considering the time dimension (fig. 31).
Solutions & Examples: Green parks and pedestrian-friendly streets, if programmed next to stations, can be tem- porarily restrictedly used by stations exclusively - for accommodating waiting passengers during railway peak times or for evacuation during emergent times.
Similarly, large infrastructures such as sports stadiums, and music venues, since they are usually not used on a daily basis, can be shared with stations for railway peak time use. For example, in Guangzhou, China, multiple sports stadiums were planned for backup use of railway stations if any emergency occurred during Chinese New Year times (Agency, 2016). This makes sense in this culture, as during the Chinese New Year, there are surges of railway passengers (McCarthy, 2018) who want to go to their hometowns for family gatherings, while at the same time, sports stadiums are mostly empty.
During non-peak times, the city spaces and infrastructures can be used as normal for their original non-transport leisure activities. Or, they can even take advantage of the railway as a more sustainable means of transportation (Newman and Kenworthy, 1999). For example, in Amsterdam, the Netherlands, several stadiums are planned next to Bijlmer Arena railway station, promoting the use of the railway.

Limitations: Programming has its limitations for events with frequency from multi-weekly to yearly (which are our focuses in this research). We discovered only limited programming strategies for this kind of event. In contrast, for more frequent events such as commuting (with a frequency between daily to weekly, and is an issue more for metro stations instead of railway stations), there are common programming strategies that have long been established, such as mixing housing/hospitality with oﬀices.
"







"placeholder1.jpeg","placeholder1"


