"filename","description"

"white_line.png","Contexts & Problems: In the following contexts, it will be helpful to add installations and facilities to vibrant the environment: 1) If a station suffers from emptiness during non-peak times; and 2) the station spaces are huge and boring. 3) The station spaces are human-oriented spaces that are supportive of events leisure activities or big leisure events

Solutions: Adding installations and facilities (fig. 35) is helpful to reduce emptiness by 1) stimulating events; 2) reducing the size of huge empty spaces to make them more human-scale; 3) making the scenes visually more diversified to have enough complexity. Installations can be interactive (e.g., ferry wheels) or just visually interesting (big inflatable art installations (Ivers, 2018)).

The installations and facilities can also be Reconfigurable elements (17) that can be rearranged.

Examples: For example, At Antwerpen Central Station, a ferry wheel is sometimes installed in the front square. At Rotterdam Central Station, different art installations are installed from time to time, on the front square and in the station hall.

Limitations: If the installations and facilities are not attractive by themselves, then they can deteriorate the space quality. For instance, in the Antwerpen Central Station case, when the ferry wheel is installed, the corresponding facilities, such as ticket-selling points, can make the square messy. On the street level, pedestrians’ views are much blocked by these facilities, and the beautiful facade of the station is less visible to pedestrians. Similarly, on the South Square of Beijing West Railway Station, many staircases, soldier standing points, the roofs of sunken atriums, police car parking points, and so on, also block pedestrians’ views.
"







"placeholder1.jpeg","placeholder1"


