"filename","description"

"white_line.png","Contexts & Problems: Reconfigurable elements or spaces can be used for the following purposes: 1) To vibrate the environment if station spaces are empty during non-peak times. 2) To Regulate path (17) during peak times. 3) To further develop Human-oriented spaces (7), making these spaces more diverse with elements. 4) To make Installations and facilities (16) more flexible
Solutions & Examples: Reconfigurable elements are movable. They can be rearranged in different layouts for differ- ent use scenarios. They can be urban furniture (fig. 36), potted plants, art installations, stalls, and so on. Reconfiguration of elements can be a spontaneous activity of users, such as people who use urban furniture will move the furniture by themselves.
Reconfigurable spaces can be set as different venues for different activities or events (fig. 37). For example, Bryant Park in New York is constantly reconfigured as a music venue, tennis courts, a grassland, and an ice skating rink (Ivers, 2018).
Reconfigurable spaces or elements are similar to Flexible buildings or building components (14) & (15). Their difference is that the former is about outdoor spaces, and the latter is about (indoor) buildings.
"







"placeholder1.jpeg","placeholder1"


