"filename","description"

"white_line.png","Context & Problems: Stations and cities have different elements (and can be seen as the mass and the void); depending on the contexts, a suitable general layout of them can make the spatial allocation more understandable and rational. The following are some options of the general layouts:
Solutions & Examples: The general layouts of stations’ and cities’ elements can be 1) separated; 2) connected - e.g., Rotterdam Central Staiton and Utrecht Central Staiton, where stations are Connect with neighborhoods (8) through City axes (25), and (20) City passages and their positioning; 3) stacked - e.g., Montparnasse Station, upon which are apartment and oﬀices buildings, and rooftop parks; 4) mixed - e.g., Shibuya Station and Shinjuku Station, where stations’ spaces and cities’ spaces are inseparable; (fig. 19) (Shikata et al., 2013; Qi and Lu, 2019; De Wilde, 2006).
Whether mixing or separating stations’ and cities’ elements depends on the specific project contexts. Bringing non- transport city functions into the station areas, has several benefits, including intensifying land use, more commercial revenue, vibrating the spaces, and so on. However, this can potentially also cause conflicting use between the stations and cities, between passengers and non-passengers. Therefore, sometimes it is necessary to Set apart non-transport function (3).
These general layouts can be applied on different spatial scales, as long as the layouts facilitate designers’ or stake- holders’ understanding of the spatial configurations of station areas/buildings/elements.
Limitations: There are some limitations of trying to apply the general layouts: 1) The layouts can be meaningless or merely abstract concepts if they not related to the actual functioning of the stations’ cities’ components. 2) Also, sometimes
 
defining stations and city elements is hard work itself. These elements may not have clear identifiable boundaries, or they have Flexible use (1).
"







"placeholder1.jpeg","placeholder1"


